,tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux,Sectors
10,00007772500-01,7772500,1,1,5717.0,4.46907,0.551185,0.000124602,1.84307,2.64737,0.0173236,2.00395,0.0132508,0.97454,345.123,44.3186,2.14407,2010.49,0.0030048,0.0444229,0.325314,1.73647,0.14303,45,22.97225,7.39856,2.39663,2163.41,5176.95,26
37,00018422438-01,18422438,1,2,5021.0,4.58181,0.315551,9.22936e-06,9.94225,5.25598,0.117671,1.74481,0.00854306,0.773951,6194.88,200.982,0.922084,2010.46,0.000377988,0.461042,0.979089,27.74042,0.15827,79,68.10011,20.84872,4.13541,2108.78,4673.58,26
38,00018422438-02,18422438,2,2,5021.0,4.58181,0.31557,8.26516e-06,8.87624,4.32079,0.105054,1.75589,0.00854341,0.773951,5359.13,170.057,0.885457,2010.3,0.000333744,0.442729,0.972373,1.54557,0.0531,79,116.6597,28.00002,5.54524,2108.74,4673.2,26
47,00020534584-02,20534584,2,3,10130.0,3.82202,0.441584,2.53436e-05,6.21782,1.88806,0.0173791,4.5105,0.0156138,3.27724,308.902,28.0441,0.562154,2010.42,0.000662991,0.0186481,0.699119,10.56703,0.17602,57,36.39857,10.33384,4.04092,6475.91,415646.0,26
49,00021125485-01,21125485,1,1,6041.0,3.4314,0.7619,0.000112769,7.40552,3.65692,0.0201146,2.27389,0.0169635,3.37242,455.454,42.5391,2.54109,2010.68,0.00198073,0.0618758,0.37612,2.14066,0.3347,33,13.5367,8.91512,2.75947,3758.5,47160.4,26
56,00021829304-04,21829304,4,4,5687.87,4.04048,1.1242,0.337053,0.22551,142.15,0.0013005,1.22882,0.0212413,1.58838,1.95599,451.774,8.09208,2010.5,14.1882,0.0159827,0.205966,14.08262,0.42775,23,15.36499,66.48421,26.40845,2170.34,5243.64,26
64,00023539980-01,23539980,1,1,5543.0,4.67239,0.577248,8.64354e-05,8.37563,4.53241,0.101707,1.25357,0.0134659,0.754332,4283.8,229.362,2.99665,2010.71,0.00212037,1.49832,0.990105,2.97938,0.21463,43,7.35298,13.67995,3.45357,1830.63,2654.13,26
65,00023541457-01,23541457,1,1,6346.0,4.29418,1.48167,0.000707946,7.43555,1.80542,0.0514142,1.34197,0.0274875,1.32473,1962.51,270.932,5.39586,2011.1,0.00664364,2.69793,0.959171,1.3472,0.63887,17,13.20433,10.79185,3.69669,1943.96,3375.0,26
71,00028069786-01,28069786,1,3,2867.0,5.17089,0.232856,2.31803e-05,1.05554,0.864549,0.0640475,4.25018,0.00368772,0.150963,4415.61,842.936,0.3742,2010.32,0.000884124,0.0345477,0.600253,9.16648,0.15623,107,54.58559,8.34283,2.84282,809.424,101.444,26
72,00028069786-02,28069786,2,3,2867.0,5.17089,0.232916,1.78157e-05,1.27563,0.264438,0.0774018,2.70286,0.00368835,0.150963,6126.3,698.155,0.553172,2010.39,0.000733822,0.0802748,0.72557,11.6028,0.0781,107,69.88425,9.57996,3.14237,809.354,101.409,26
