,tceid,ticid,sector,orbitalPeriodDays,orbitalPeriodDays_err,transitDepthPpm,transitDepthPpm_err,transitDurationHours,minImpactParameter,starTeffKelvin,starLoggCgs
0,00117515123-01,117515123,1.0,0.259615,5.94549e-06,7149.74,707.751,0.518326,0.700349,4857.0,4.438
1,00117515123-02,117515123,1.0,0.259535,-1.0,534479.0,0.0,0.5,0.1,4857.0,4.438
2,00117544915-01,117544915,1.0,1.4856,-1.0,0.0,0.0,2.0,0.1,6220.0,3.60015
3,00117544915-02,117544915,1.0,1.48414,-1.0,1481.59,-1.0,1.5,0.1,6220.0,3.60015
4,00117544915-03,117544915,1.0,1.48441,-1.0,1072.01,-1.0,1.0,0.1,6220.0,3.60015
5,00121420805-01,121420805,1.0,1.7171,-1.0,632758.0,0.0,2.5,0.1,5797.0,4.34176
6,00121420805-02,121420805,1.0,1.71679,5.36533e-05,61733.9,1854.27,5.46083,0.999883,5797.0,4.34176
7,00126602778-01,126602778,1.0,0.712213,-1.0,380284.0,0.0,1.5,0.1,7377.0,4.438
8,00126637765-01,126637765,1.0,0.273753,9.44169e-06,43115.4,1706.97,1.66615,0.999762,5839.0,4.438
9,00126637765-02,126637765,1.0,0.273317,-1.0,3969.17,-1.0,0.5,0.1,5839.0,4.438
10,00126944775-01,126944775,1.0,1.3479,-1.0,0.0,0.0,2.0,0.1,7639.0,3.99909
11,00126944775-03,126944775,1.0,1.34895,-1.0,4191.65,-1.0,2.5,0.1,7639.0,3.99909
12,00126944775-04,126944775,1.0,1.34696,-1.0,1537.17,-1.0,2.5,0.1,7639.0,3.99909
13,00126945917-01,126945917,1.0,1.34092,-1.0,365952.0,0.0,3.0,0.1,7524.0,4.12991
14,00139067693-01,139067693,1.0,0.47419,6.38483e-05,3472.44,273.012,2.5592,0.925122,3288.0,4.438
15,00139128537-01,139128537,1.0,1.57775,-1.0,0.0,0.0,1.5,0.1,4488.0,4.43856
16,00139128537-02,139128537,1.0,1.57807,7.23074e-06,75550.9,196.042,2.19257,0.679961,4488.0,4.43856
17,00139128537-03,139128537,1.0,1.57917,-1.0,7543.8,-1.0,3.0,0.1,4488.0,4.43856
18,00139148071-01,139148071,1.0,0.700651,-1.0,287134.0,0.0,1.5,0.1,6145.0,4.438
19,00139148616-01,139148616,1.0,1.16452,0.00015015,174.126,17.651,3.2999,0.258572,6825.97,4.438
20,00139188326-01,139188326,1.0,0.294214,2.91241e-06,5574.13,521.696,1.68687,1.0,6506.0,4.438
21,00139285669-01,139285669,1.0,0.697789,0.000299059,25136.9,2697.29,5.70717,0.871078,3260.0,4.438
22,00139700621-01,139700621,1.0,0.346936,5.72103e-06,40457.4,2563.8,2.03831,0.999991,6177.0,4.27353
23,00139804696-01,139804696,1.0,0.770985,0.000162059,1608.24,224.088,2.82142,0.339697,3043.0,4.438
24,00139804696-03,139804696,1.0,0.770959,0.000345706,3365.13,3404.08,5.58789,0.999999,3043.0,4.438
25,00139841210-01,139841210,1.0,0.744505,2.12639e-06,129096.0,165.678,2.91314,0.699911,5385.0,4.438
26,00140510824-01,140510824,1.0,0.297577,9.57672e-06,1088.91,64.7069,1.01256,0.5,5252.2,2.92
27,00140510824-02,140510824,1.0,0.297436,3.22128e-05,935.61,621.38,1.43882,0.999998,5252.2,2.92
28,00140940493-01,140940493,1.0,0.248915,1.73697e-05,443.198,47.838,0.587861,0.695945,5516.25,4.50311
29,00140940493-02,140940493,1.0,0.24905,1.28521e-05,632.775,41.7048,0.915072,0.432594,5516.25,4.50311
30,00141484981-01,141484981,1.0,0.337533,3.33097e-05,191.998,22.6311,1.01518,0.685515,8130.0,4.36343
31,00141484981-02,141484981,1.0,0.337617,2.30594e-05,279.481,19.5043,1.19828,0.7,8130.0,4.36343
32,00141606986-02,141606986,1.0,0.343801,1.70878e-06,400817.0,2234.09,2.11811,0.307619,5868.9,4.20529
33,00141622065-01,141622065,1.0,1.46399,2.41688e-05,161074.0,613.895,7.62264,0.507383,6640.1,4.23521
34,00141770047-01,141770047,1.0,0.269369,3.35324e-05,482.599,84.1284,0.530134,0.901407,7675.0,4.39824
